sample_id,product_name,manufacturer_name,manufacturer_address,net_quantity,unit_of_measurement,mrp_declaration,mrp_value_rupees,packing_date,consumer_care_phone,consumer_care_email,country_of_origin,unit_sale_price,label_readability,product_category,compliance_status,compliance_score,violations_count,violation_labels
SIH26034-00033,Mother Dairy Dahi,Britannia Industries Ltd,"No. 5/1A, Hungerford Street, Kolkata, West Bengal - 700017",250kg,kg,Rs. 661.39 (Incl. of all taxes),661.39,04/2023,1800-425-6789,grievance@brand.in,Made in India,Rs. 2.65 per kg,POOR,Food & Beverages,NON_COMPLIANT,90,1,LM-PC-010: Poor label readability
SIH26034-00034,Dettol Original Soap,,"1 Bishop Lefroy Road, Kolkata, West Bengal - 700020",5g,g,Rs. 1024.34 (Incl. of all taxes),1024.34,05/2025,1800-425-6789,grievance@brand.in,Manufactured in India,Rs. 204.87 per g,POOR,Household Cleaning,NON_COMPLIANT,85,1,LM-PC-002: Missing manufacturer name
SIH26034-00035,Britannia Good Day Cookies,,"Dabur India Ltd., 8/3, Asaf Ali Road, New Delhi - 110002",2ml,ml,Rs. 601.45 (Incl. of all taxes),601.45,11/2024,1800-123-4567,care@company.in,India,Rs. 300.73 per ml,MODERATE,Household Cleaning,NON_COMPLIANT,85,1,LM-PC-002: Missing manufacturer name
SIH26034-00036,Maggi 2-Minute Noodles,Adani Wilmar Ltd,"Fortune House, Near Navrangpura Bus Stop, Ahmedabad, Gujarat - 380009",5g,g,Rs. 499.09 (Incl. of all taxes),499.09,08/2024,1800-123-4567,care@company.in,India,Rs. 99.82 per g,MODERATE,Dairy Products,COMPLIANT,100,0,None
SIH26034-00037,MDH Garam Masala,KRBL Limited,"KRBL Ltd., Post Box No. 3, 5, Community Centre, New Delhi - 110017",750ml,ml,Rs. 848.04 (Incl. of all taxes),848.04,03/2023,1800-120-3345,support@india.com,Manufactured in India,Rs. 1.13 per ml,GOOD,Personal Care,COMPLIANT,100,0,None
SIH26034-00038,Glucon-D Nimbu Pani,Nestle India Ltd,"100/101, World Trade Centre, Barakhamba Lane, New Delhi - 110001",250g,g,Rs. 484.8 (Incl. of all taxes),484.8,08/2023,1800-123-4567,care@company.in,India,,MODERATE,Household Cleaning,NON_COMPLIANT,90,1,LM-PC-009: Missing unit sale price
SIH26034-00039,Amul Butter,Hindustan Unilever Ltd,"Unilever House, B.D. Sawant Marg, Chakala, Andheri (E), Mumbai - 400099",250kg,kg,Rs. 366.05 (Incl. of all taxes),366.05,07/2023,1800-120-3345,support@india.com,India,Rs. 1.46 per kg,GOOD,Dairy Products,COMPLIANT,100,0,None
SIH26034-00040,Maggi 2-Minute Noodles,Procter & Gamble,"P&G Plaza, Cardinal Gracias Road, Chakala, Andheri East, Mumbai - 400099",750l,l,Rs. 406.4 (Incl. of all taxes),406.4,04/2023,,,,Rs. 0.54 per l,GOOD,Personal Care,NON_COMPLIANT,70,2,LM-PC-007: Missing consumer care contact; LM-PC-008: Missing country of origin
SIH26034-00041,Parle-G Biscuits,Parle Products Pvt. Ltd.,"Parle Products, V.J.T.I. Campus, Matunga, Mumbai - 400019",7N,N,Rs. 115.67 (Incl. of all taxes),115.67,,1800-120-3345,support@india.com,Made in India,Rs. 16.52 per N,GOOD,Household Cleaning,NON_COMPLIANT,85,1,LM-PC-006: Missing packing/manufacturing date
SIH26034-00042,Kwality Wall's Ice Cream,Tata Consumer Products,1 Bishop Lefroy Road,100l,l,Rs. 1026.2 (Incl. of all taxes),1026.2,08/2023,1800-120-3345,support@india.com,India,Rs. 10.26 per l,MODERATE,Health & Nutrition,NON_COMPLIANT,85,1,LM-PC-003: Incomplete address (no PIN/State)
SIH26034-00043,Colgate MaxFresh Toothpaste,Tata Consumer Products,"1 Bishop Lefroy Road, Kolkata, West Bengal - 700020",17m,m,Rs. 365.35 (Incl. of all taxes),365.35,07/2023,1800-120-3345,support@india.com,India,Rs. 21.49 per m,MODERATE,Health & Nutrition,COMPLIANT,100,0,None
SIH26034-00044,Kwality Wall's Ice Cream,Adani Wilmar Ltd,"Fortune House, Near Navrangpura Bus Stop, Ahmedabad, Gujarat - 380009",74N,N,Rs. 433.09 (Incl. of all taxes),433.09,03/2024,1800-425-6789,grievance@brand.in,India,,GOOD,Household Cleaning,NON_COMPLIANT,90,1,LM-PC-009: Missing unit sale price
SIH26034-00045,Saffola Active Oil,Tata Consumer Products,"1 Bishop Lefroy Road, Kolkata, West Bengal - 700020",2ml,ml,Rs. 484.01 (Incl. of all taxes),484.01,10/2024,1800-120-3345,support@india.com,India,Rs. 242.0 per ml,GOOD,Personal Care,COMPLIANT,100,0,None
SIH26034-00046,Vim Dishwash Bar,KRBL Limited,"KRBL Ltd., Post Box No. 3, 5, Community Centre, New Delhi - 110017",5g,g,Rs. 501.81,501.81,02/2025,1800-120-3345,support@india.com,Manufactured in India,Rs. 100.36 per g,MODERATE,Dairy Products,NON_COMPLIANT,80,1,LM-PC-005: MRP missing 'inclusive of all taxes' phrase
SIH26034-00047,Surf Excel Easy Wash,Dabur India Ltd,"Dabur India Ltd., 8/3, Asaf Ali Road, New Delhi - 110002",2l,l,Rs. 329.65 (Incl. of all taxes),329.65,03/2025,1800-123-4567,care@company.in,Made in India,Rs. 164.82 per l,POOR,Household Cleaning,COMPLIANT,100,0,None
SIH26034-00048,Premium Basmati Rice,Dabur India Ltd,Dabur India Ltd.,250kg,kg,Rs. 734.37 (Incl. of all taxes),734.37,08/2023,1800-425-6789,grievance@brand.in,India,Rs. 2.94 per kg,GOOD,Food & Beverages,NON_COMPLIANT,85,1,LM-PC-003: Incomplete address (no PIN/State)
SIH26034-00049,Britannia Good Day Cookies,KRBL Limited,"KRBL Ltd., Post Box No. 3, 5, Community Centre, New Delhi - 110017",200kg,kg,Rs. 504.36 (Incl. of all taxes),504.36,02/2024,1800-120-3345,support@india.com,India,Rs. 2.52 per kg,POOR,Health & Nutrition,COMPLIANT,100,0,None
SIH26034-00050,Ariel Matic Detergent,Nestle India Ltd,"100/101, World Trade Centre, Barakhamba Lane, New Delhi - 110001",500ml,ml,Rs. 900.57 (Incl. of all taxes),900.57,03/2025,1800-425-6789,grievance@brand.in,India,Rs. 1.8 per ml,POOR,Food & Beverages,NON_COMPLIANT,90,1,LM-PC-010: Poor label readability
SIH26034-00051,Dettol Original Soap,,"Dabur India Ltd., 8/3, Asaf Ali Road, New Delhi - 110002",33m,m,Rs. 315.96 (Incl. of all taxes),315.96,11/2024,1800-267-8900,consumer@brand.com,India,Rs. 9.57 per m,GOOD,Personal Care,NON_COMPLIANT,85,1,LM-PC-002: Missing manufacturer name
SIH26034-00052,Hajmola Digestive Tablets,,"100/101, World Trade Centre, Barakhamba Lane, New Delhi - 110001",1l,l,Rs. 1135.1 (Incl. of all taxes),1135.1,11/2023,1800-267-8900,consumer@brand.com,India,Rs. 1135.1 per l,MODERATE,Household Cleaning,NON_COMPLIANT,85,1,LM-PC-002: Missing manufacturer name
SIH26034-00053,Parle-G Biscuits,Tata Consumer Products,"1 Bishop Lefroy Road, Kolkata, West Bengal - 700020",1l,l,Rs. 972.51 (Incl. of all taxes),972.51,04/2023,1800-267-8900,consumer@brand.com,India,Rs. 972.51 per l,GOOD,Health & Nutrition,COMPLIANT,100,0,None
SIH26034-00054,Refined Sunflower Oil,ITC Limited,"ITC Limited, Virginia House, 37, J.L. Nehru Road, Kolkata - 700071",500kg,kg,Rs. 167.14 (Incl. of all taxes),167.14,07/2024,1800-123-4567,care@company.in,Made in India,Rs. 0.33 per kg,GOOD,Health & Nutrition,COMPLIANT,100,0,None
SIH26034-00055,Tata Salt (Iodized),KRBL Limited,"KRBL Ltd., Post Box No. 3, 5, Community Centre, New Delhi - 110017",500kg,kg,Rs. 914.23 (Incl. of all taxes),914.23,04/2024,1800-425-6789,grievance@brand.in,Manufactured in India,,POOR,Household Cleaning,NON_COMPLIANT,90,1,LM-PC-009: Missing unit sale price
SIH26034-00056,Amul Butter,Hindustan Unilever Ltd,"Unilever House, B.D. Sawant Marg, Chakala, Andheri (E), Mumbai - 400099",250g,g,Rs. 481.78 (Incl. of all taxes),481.78,07/2024,1800-123-4567,care@company.in,India,Rs. 1.93 per g,GOOD,Household Cleaning,COMPLIANT,100,0,None
SIH26034-00057,,KRBL Limited,"KRBL Ltd., Post Box No. 3, 5, Community Centre, New Delhi - 110017",100kg,kg,Rs. 383.24 (Incl. of all taxes),383.24,07/2024,1800-267-8900,consumer@brand.com,Manufactured in India,Rs. 3.83 per kg,MODERATE,Dairy Products,NON_COMPLIANT,80,1,LM-PC-001: Missing product name
SIH26034-00058,Nescafe Classic Coffee,,"ITC Limited, Virginia House, 37, J.L. Nehru Road, Kolkata - 700071",25N,N,Rs. 873.63 (Incl. of all taxes),873.63,02/2023,1800-120-3345,support@india.com,India,Rs. 34.95 per N,GOOD,Health & Nutrition,NON_COMPLIANT,85,1,LM-PC-002: Missing manufacturer name
SIH26034-00059,Mother Dairy Dahi,,"ITC Limited, Virginia House, 37, J.L. Nehru Road, Kolkata - 700071",57m,m,Rs. 1049.01 (Incl. of all taxes),1049.01,06/2023,1800-123-4567,care@company.in,Manufactured in India,Rs. 18.4 per m,GOOD,Health & Nutrition,NON_COMPLIANT,85,1,LM-PC-002: Missing manufacturer name
SIH26034-00060,Head & Shoulders Shampoo,Tata Consumer Products,"1 Bishop Lefroy Road, Kolkata, West Bengal - 700020",500l,l,Rs. 757.7 (Incl. of all taxes),757.7,03/2024,1800-120-3345,support@india.com,Made in India,Rs. 1.52 per l,GOOD,Personal Care,COMPLIANT,100,0,None
SIH26034-00061,Parle-G Biscuits,Britannia Industries Ltd,No. 5/1A,250g,g,Rs. 771.87 (Incl. of all taxes),771.87,01/2024,1800-120-3345,support@india.com,,Rs. 3.09 per g,POOR,Dairy Products,NON_COMPLIANT,70,2,LM-PC-008: Missing country of origin; LM-PC-003: Incomplete address (no PIN/State)
SIH26034-00062,Fortified Cow Ghee,Britannia Industries Ltd,"No. 5/1A, Hungerford Street, Kolkata, West Bengal - 700017",47N,N,Rs. 1064.26 (Incl. of all taxes),1064.26,08/2024,1800-120-3345,support@india.com,Manufactured in India,Rs. 22.64 per N,GOOD,Food & Beverages,COMPLIANT,100,0,None
SIH26034-00063,Nescafe Classic Coffee,Britannia Industries Ltd,"No. 5/1A, Hungerford Street, Kolkata, West Bengal - 700017",500kilos,kilos,Rs. 375.67 (Incl. of all taxes),375.67,04/2023,1800-267-8900,consumer@brand.com,India,Rs. 0.75 per g,GOOD,Food & Beverages,NON_COMPLIANT,80,1,LM-PC-004: Non-standard unit 'kilos'
SIH26034-00064,Whole Wheat Atta,Procter & Gamble,"P&G Plaza, Cardinal Gracias Road, Chakala, Andheri East, Mumbai - 400099",500kg,kg,Rs. 923.85 (Incl. of all taxes),923.85,09/2024,1800-120-3345,support@india.com,Manufactured in India,Rs. 1.85 per kg,GOOD,Dairy Products,COMPLIANT,100,0,None
SIH26034-00065,Amul Butter,Adani Wilmar Ltd,"Fortune House, Near Navrangpura Bus Stop, Ahmedabad, Gujarat - 380009",1000g,g,Rs. 1115.73 (Incl. of all taxes),1115.73,11/2024,1800-123-4567,care@company.in,Made in India,Rs. 1.12 per g,MODERATE,Household Cleaning,COMPLIANT,100,0,None
SIH26034-00066,Tang Orange Drink Mix,,"100/101, World Trade Centre, Barakhamba Lane, New Delhi - 110001",84m,m,Rs. 185.82 (Incl. of all taxes),185.82,06/2023,1800-425-6789,grievance@brand.in,India,Rs. 2.21 per m,GOOD,Food & Beverages,NON_COMPLIANT,85,1,LM-PC-002: Missing manufacturer name
SIH26034-00067,Ariel Matic Detergent,,"Parle Products, V.J.T.I. Campus, Matunga, Mumbai - 400019",5g,g,Rs. 293.2 (Incl. of all taxes),293.2,10/2023,1800-123-4567,care@company.in,Made in India,Rs. 58.64 per g,GOOD,Health & Nutrition,NON_COMPLIANT,85,1,LM-PC-002: Missing manufacturer name
SIH26034-00068,Lipton Green Tea,Britannia Industries Ltd,"No. 5/1A, Hungerford Street, Kolkata, West Bengal - 700017",39N,N,Rs. 1002.96 (Incl. of all taxes),1002.96,10/2023,1800-120-3345,support@india.com,India,Rs. 25.72 per N,GOOD,Personal Care,COMPLIANT,100,0,None
SIH26034-00069,Hajmola Digestive Tablets,Amul (GCMMF),"P.O. Box 10, Amul Dairy Road, Anand, Gujarat - 388001",750l,l,Rs. 590.49 (Incl. of all taxes),590.49,12/2023,1800-267-8900,consumer@brand.com,India,Rs. 0.79 per l,MODERATE,Health & Nutrition,COMPLIANT,100,0,None
SIH26034-00070,,KRBL Limited,"KRBL Ltd., Post Box No. 3, 5, Community Centre, New Delhi - 110017",63N,N,Rs. 1198.7 (Incl. of all taxes),1198.7,06/2025,1800-120-3345,support@india.com,Made in India,Rs. 19.03 per N,GOOD,Household Cleaning,NON_COMPLIANT,80,1,LM-PC-001: Missing product name
SIH26034-00071,,KRBL Limited,"KRBL Ltd., Post Box No. 3, 5, Community Centre, New Delhi - 110017",250g,g,Rs. 237.29 (Incl. of all taxes),237.29,09/2024,1800-425-6789,grievance@brand.in,India,Rs. 0.95 per g,MODERATE,Dairy Products,NON_COMPLIANT,80,1,LM-PC-001: Missing product name
SIH26034-00072,Maggi 2-Minute Noodles,Amul (GCMMF),"P.O. Box 10, Amul Dairy Road, Anand, Gujarat - 388001",500lts,lts,Rs. 681.43,681.43,07/2024,1800-267-8900,consumer@brand.com,India,Rs. 1.36 per g,POOR,Household Cleaning,NON_COMPLIANT,60,2,LM-PC-005: MRP missing 'inclusive of all taxes' phrase; LM-PC-004: Non-standard unit 'lts'
SIH26034-00073,Kwality Wall's Ice Cream,Parle Products Pvt. Ltd.,"Parle Products, V.J.T.I. Campus, Matunga, Mumbai - 400019",13N,N,Rs. 732.43,732.43,03/2025,1800-120-3345,support@india.com,India,Rs. 56.34 per N,GOOD,Health & Nutrition,NON_COMPLIANT,80,1,LM-PC-005: MRP missing 'inclusive of all taxes' phrase
SIH26034-00074,Horlicks Original,Amul (GCMMF),"P.O. Box 10, Amul Dairy Road, Anand, Gujarat - 388001",68N,N,Rs. 1144.9 (Incl. of all taxes),1144.9,01/2023,1800-120-3345,support@india.com,India,Rs. 16.84 per N,POOR,Personal Care,COMPLIANT,100,0,None
SIH26034-00075,Bournvita Health Drink,Marico Limited,"7th Floor, Grande Palladium, 175, CST Road, Santacruz (E), Mumbai - 400098",500kg,kg,Rs. 405.89 (Incl. of all taxes),405.89,08/2024,1800-120-3345,support@india.com,India,Rs. 0.81 per kg,GOOD,Health & Nutrition,COMPLIANT,100,0,None
SIH26034-00076,Tata Salt (Iodized),Adani Wilmar Ltd,"Fortune House, Near Navrangpura Bus Stop, Ahmedabad, Gujarat - 380009",500kg,kg,Rs. 155.37 (Incl. of all taxes),155.37,09/2024,1800-120-3345,support@india.com,India,Rs. 0.31 per kg,POOR,Dairy Products,COMPLIANT,100,0,None
SIH26034-00077,MDH Garam Masala,Procter & Gamble,"P&G Plaza, Cardinal Gracias Road, Chakala, Andheri East, Mumbai - 400099",55N,N,Rs. 644.14 (Incl. of all taxes),644.14,02/2025,1800-120-3345,support@india.com,India,Rs. 11.71 per N,POOR,Dairy Products,COMPLIANT,100,0,None
SIH26034-00078,Tang Orange Drink Mix,ITC Limited,"ITC Limited, Virginia House, 37, J.L. Nehru Road, Kolkata - 700071",90N,N,Rs. 245.41 (Incl. of all taxes),245.41,01/2024,1800-425-6789,grievance@brand.in,Manufactured in India,Rs. 2.73 per N,MODERATE,Health & Nutrition,COMPLIANT,100,0,None
SIH26034-00079,Whole Wheat Atta,KRBL Limited,"KRBL Ltd., Post Box No. 3, 5, Community Centre, New Delhi - 110017",750ml,ml,Rs. 206.47 (Incl. of all taxes),206.47,07/2024,1800-267-8900,consumer@brand.com,Manufactured in India,Rs. 0.28 per ml,MODERATE,Household Cleaning,COMPLIANT,100,0,None
SIH26034-00080,Nescafe Classic Coffee,ITC Limited,"ITC Limited, Virginia House, 37, J.L. Nehru Road, Kolkata - 700071",100kg,kg,Rs. 180.35 (Incl. of all taxes),180.35,11/2024,1800-120-3345,support@india.com,India,Rs. 1.8 per kg,POOR,Food & Beverages,COMPLIANT,100,0,None
SIH26034-00081,Bournvita Health Drink,Amul (GCMMF),"P.O. Box 10, Amul Dairy Road, Anand, Gujarat - 388001",35m,m,Rs. 997.91,997.91,01/2023,1800-123-4567,care@company.in,Made in India,Rs. 28.51 per m,GOOD,Health & Nutrition,NON_COMPLIANT,80,1,LM-PC-005: MRP missing 'inclusive of all taxes' phrase
SIH26034-00082,Kissan Mixed Fruit Jam,Procter & Gamble,"P&G Plaza, Cardinal Gracias Road, Chakala, Andheri East, Mumbai - 400099",750l,l,Rs. 721.13 (Incl. of all taxes),721.13,06/2024,1800-123-4567,care@company.in,India,Rs. 0.96 per l,GOOD,Health & Nutrition,COMPLIANT,100,0,None
