sample_id,batch_number,barcode,product_name,product_category,manufacturer_name,manufacturer_address,net_quantity,unit_of_measurement,mrp_declaration,mrp_value_inr,unit_sale_price,packing_date,consumer_care_phone,consumer_care_email,country_of_origin,label_readability,compliance_status,compliance_score,risk_tier,violation_count,violated_rules,violation_descriptions
LM-GEN-00020,BN8613,8902845548395,Body Lotion,Personal Care,GreenLeaf Agro Industries,"Survey No. 87, Rajkot Industrial Estate, Rajkot, Gujarat - 360002",200ml,ml,MRP Rs. 450 (Incl. of all taxes),450,Rs. 2.25 per ml,,1800-200-5678,care@brand.com,India,GOOD,NON_COMPLIANT,85,LOW,1,LM-PC-006,Month and year of manufacture / packing not declared
LM-GEN-00021,BN6062,8908348097760,Rock Salt,Staples,National Packaged Goods Ltd.,"B-12, Okhla Industrial Phase II, New Delhi - 110020",500g,g,MRP Rs. 299 (Incl. of all taxes),299,Rs. 2.99 per ml,05/2022,1800-572-3344,grievance@goods.in,China,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00022,BN5676,8907880719101,Moong Dal,Pulses,Evergreen Manufacturing Co.,"Phase II, Industrial Zone, Ludhiana, Punjab - 141010",1000g,g,MRP Rs. 75 (Incl. of all taxes),75,Rs. 0.075 per g,05/2022,011-23456789,contact@firm.co.in,India,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00023,BN6262,8906222362124,Coriander Powder,Spices,Star FMCG Corporation,"Sector 63, NOIDA, Uttar Pradesh - 201301",200g,g,MRP Rs. 150 (Incl. of all taxes),150,Rs. 0.75 per g,04/2022,1800-419-8900,consumer@product.in,China,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00024,BN6954,8907915505044,Wheat Flour (Atta),Staples,Hindustan Consumer Goods,"Andheri East, MIDC, Mumbai, Maharashtra - 400093",2.5kg,kg,MRP Rs. 30 (Incl. of all taxes),30,Rs. 12.0 per kg,09/2024,,,,POOR,NON_COMPLIANT,70,MEDIUM,2,LM-PC-008; LM-PC-007,Country of Origin declaration missing | Consumer care helpline and email not provided
LM-GEN-00025,BN8644,8904457185027,Instant Noodles,Snacks & Bakery,Agro Vision Industries,"Kumbargaon MIDC, Ahmednagar, Maharashtra - 414003",70g,g,MRP Rs. 25 (Incl. of all taxes),25,Rs. 0.5556 per ml,05/2023,011-23456789,contact@firm.co.in,India,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00026,BN9092,8907515841850,Moisturizing Cream,Personal Care,Sunrise Foods Pvt. Ltd.,"Plot No. 14, MIDC Industrial Area, Pune, Maharashtra - 411026",100ml,ml,MRP Rs. 550 (Incl. of all taxes),550,Rs. 5.5 per ml,03/2023,1800-419-8900,consumer@product.in,India,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00027,BN1567,8905154995083,Chana Dal,Health,,"No. 34, Anna Salai, Chennai, Tamil Nadu - 600002",1000g,g,MRP Rs. 650 (Incl. of all taxes),650,Rs. 0.65 per g,08/2024,011-23456789,contact@firm.co.in,Bharat,POOR,NON_COMPLIANT,85,LOW,1,LM-PC-002,Manufacturer/packer name not declared
LM-GEN-00028,BN1756,8909182263243,Curd (Dahi),Agriculture,,"Near Water Tank, Sikar Road, Jaipur, Rajasthan - 302023",400g,g,MRP Rs. 9.5 (Incl. of all taxes),9.5,Rs. 0.0238 per g,09/2024,1800-103-1234,support@company.in,India,MODERATE,NON_COMPLIANT,85,LOW,1,LM-PC-002,Manufacturer/packer name not declared
LM-GEN-00029,BN2078,8904548241271,Sugar,Spices,Kerala Naturals Pvt. Ltd.,"SY 22/3, Edapally, Kochi, Kerala - 682024",1kg,kg,MRP Rs. 999 (Incl. of all taxes),999,Rs. 999.0 per kg,10/2023,1800-200-5678,care@brand.com,India,POOR,NON_COMPLIANT,92,LOW,1,LM-PC-010,Label text readability below minimum statutory requirement (Rule 7)
LM-GEN-00030,BN4331,8907480432502,,Personal Care,GreenLeaf Agro Industries,"Survey No. 87, Rajkot Industrial Estate, Rajkot, Gujarat - 360002",200ml,ml,MRP Rs. 75,75,Rs. 0.375 per ml,08/2022,1800-419-8900,consumer@product.in,Manufactured in India,GOOD,NON_COMPLIANT,50,HIGH,2,LM-PC-001; LM-PC-005,Missing product/commodity name on label | MRP missing mandatory phrase 'inclusive of all taxes'
LM-GEN-00031,BN1501,8909311028018,Hybrid Tomato Seeds,Agriculture,Apex Consumer Products,"No. 7, 3rd Cross, Peenya Industrial Area, Bengaluru, Karnataka - 560058",20g,g,MRP Rs. 20 (Incl. of all taxes),20,Rs. 1.0 per g,05/2022,011-23456789,contact@firm.co.in,China,MODERATE,COMPLIANT,100,NONE,0,None,None
LM-GEN-00032,BN9207,8906108422960,Fabric Softener,Household,Royal Produce Pvt. Ltd.,NH-44 Bypass Road,500ml,ml,MRP Rs. 350 (Incl. of all taxes),350,Rs. 0.7 per ml,08/2023,,,Made in India,GOOD,NON_COMPLIANT,70,MEDIUM,2,LM-PC-003; LM-PC-007,Incomplete address — PIN code / State missing | Consumer care helpline and email not provided
LM-GEN-00033,BN8285,8907726804155,Fabric Softener,Household,Evergreen Manufacturing Co.,"Phase II, Industrial Zone, Ludhiana, Punjab - 141010",1000Gms,Gms,MRP Rs. 499 (Incl. of all taxes),499,,02/2024,1800-200-5678,care@brand.com,USA,GOOD,NON_COMPLIANT,67,MEDIUM,2,LM-PC-004; LM-PC-009,Non-standard unit 'Gms' used (must be SI: g/kg/ml/l/N/m) | Unit Sale Price (USP) not declared
LM-GEN-00034,BN3943,8903281705089,Tea Bags,Condiments,Apex Consumer Products,No. 7,200g,g,MRP Rs. 750 (Incl. of all taxes),750,Rs. 3.75 per g,08/2023,1800-890-0011,help@business.co.in,India,GOOD,NON_COMPLIANT,85,LOW,1,LM-PC-003,Incomplete address — PIN code / State missing
LM-GEN-00035,BN1789,8906104694451,Namkeen Mix,Snacks & Bakery,GreenLeaf Agro Industries,"Survey No. 87, Rajkot Industrial Estate, Rajkot, Gujarat - 360002",250g,g,MRP Rs. 650 (Incl. of all taxes),650,Rs. 18.5714 per g,07/2023,1800-200-5678,care@brand.com,USA,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00036,BN7948,8906607345686,Chana Dal,Pulses,Royal Produce Pvt. Ltd.,"NH-44 Bypass Road, Hyderabad, Telangana - 500072",1000g,g,MRP Rs. 850 (Incl. of all taxes),850,Rs. 0.85 per g,10/2023,011-23456789,contact@firm.co.in,India,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00037,BN1735,8905287611629,Paneer,Beverages,Agro Vision Industries,"Kumbargaon MIDC, Ahmednagar, Maharashtra - 414003",400g,g,MRP Rs. 75 (Incl. of all taxes),75,Rs. 0.1875 per g,07/2024,1800-419-8900,consumer@product.in,,POOR,NON_COMPLIANT,85,LOW,1,LM-PC-008,Country of Origin declaration missing
LM-GEN-00038,BN7507,8904074638651,Lip Balm,Personal Care,Royal Produce Pvt. Ltd.,"NH-44 Bypass Road, Hyderabad, Telangana - 500072",8g,g,MRP Rs. 35 (Incl. of all taxes),35,Rs. 4.375 per g,,1800-200-5678,care@brand.com,India,MODERATE,NON_COMPLIANT,85,LOW,1,LM-PC-006,Month and year of manufacture / packing not declared
LM-GEN-00039,BN4461,8902240774183,Fertilizer (NPK),Condiments,Bharat Organic Farms,"Village Narsingpur, Tehsil Harda, Madhya Pradesh - 461331",0.5kg,kg,MRP Rs. 1499 (Incl. of all taxes),1499,Rs. 2998.0 per kg,06/2023,1800-572-3344,grievance@goods.in,USA,POOR,NON_COMPLIANT,92,LOW,1,LM-PC-010,Label text readability below minimum statutory requirement (Rule 7)
LM-GEN-00040,BN1232,8908822691155,Pickle (Achar),Condiments,Sunrise Foods Pvt. Ltd.,Plot No. 14,400g,g,MRP Rs. 550 (Incl. of all taxes),550,Rs. 1.375 per g,07/2023,1800-103-1234,support@company.in,India,MODERATE,NON_COMPLIANT,85,LOW,1,LM-PC-003,Incomplete address — PIN code / State missing
LM-GEN-00041,BN5323,8905039382063,Rock Salt,Staples,Disha Exports & Imports,"No. 34, Anna Salai, Chennai, Tamil Nadu - 600002",250g,g,MRP Rs. 299,299,,11/2023,1800-123-7890,info@pack.in,India,GOOD,NON_COMPLIANT,67,MEDIUM,2,LM-PC-005; LM-PC-009,MRP missing mandatory phrase 'inclusive of all taxes' | Unit Sale Price (USP) not declared
LM-GEN-00042,BN8724,8902077847711,Body Lotion,Personal Care,Bengal Foods International,"Park Circus, Kolkata, West Bengal - 700017",400ml,ml,MRP Rs. 120 (Incl. of all taxes),120,,01/2022,1800-103-1234,support@company.in,,POOR,NON_COMPLIANT,77,MEDIUM,2,LM-PC-009; LM-PC-008,Unit Sale Price (USP) not declared | Country of Origin declaration missing
LM-GEN-00043,BN1091,8905665994333,Notebook,Stationery,JR Manufacturing,"K-18, RIICO Industrial Area, Bhiwadi, Rajasthan - 301019",2N,N,MRP Rs. 150 (Incl. of all taxes),150,Rs. 75.0 per N,05/2023,1800-103-1234,support@company.in,India,POOR,COMPLIANT,100,NONE,0,None,None
LM-GEN-00044,BN5952,8908593820612,,Spices,Bengal Foods International,"Park Circus, Kolkata, West Bengal - 700017",200g,g,MRP Rs. 9.5,9.5,Rs. 0.0475 per g,05/2022,1800-123-7890,info@pack.in,,GOOD,NON_COMPLIANT,35,CRITICAL,3,LM-PC-005; LM-PC-001; LM-PC-008,MRP missing mandatory phrase 'inclusive of all taxes' | Missing product/commodity name on label | Country of Origin declaration missing
LM-GEN-00045,BN4468,8906140467302,,Stationery,,"Sector 63, NOIDA, Uttar Pradesh - 201301",12.5m,m,MRP Rs. 120 (Incl. of all taxes),120,Rs. 9.6 per m,04/2024,1800-419-8900,consumer@product.in,India,POOR,NON_COMPLIANT,60,MEDIUM,2,LM-PC-001; LM-PC-002,Missing product/commodity name on label | Manufacturer/packer name not declared
LM-GEN-00046,BN2769,8909429917148,Detergent Powder,Household,Sunrise Foods Pvt. Ltd.,"Plot No. 14, MIDC Industrial Area, Pune, Maharashtra - 411026",0.5kg,kg,MRP Rs. 25,25,Rs. 50.0 per kg,03/2022,1800-200-5678,care@brand.com,India,GOOD,NON_COMPLIANT,75,MEDIUM,1,LM-PC-005,MRP missing mandatory phrase 'inclusive of all taxes'
LM-GEN-00047,BN1355,8907054444455,Detergent Powder,Household,Hindustan Consumer Goods,"Andheri East, MIDC, Mumbai, Maharashtra - 400093",1kg,kg,MRP Rs. 200 (Incl. of all taxes),200,Rs. 0.5 per g,02/2023,1800-419-8900,consumer@product.in,Germany,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00048,BN5550,8902606686179,Shampoo,Personal Care,,"Pologround Industrial Area, Indore, Madhya Pradesh - 452015",400kilos,kilos,MRP Rs. 1199 (Incl. of all taxes),1199,Rs. 2.9975 per ml,02/2022,1800-123-7890,info@pack.in,Germany,GOOD,NON_COMPLIANT,60,MEDIUM,2,LM-PC-004; LM-PC-002,Non-standard unit 'kilos' used (must be SI: g/kg/ml/l/N/m) | Manufacturer/packer name not declared
LM-GEN-00049,BN4875,8906313874892,Refined Sunflower Oil,Edible Oil,Hindustan Consumer Goods,"Andheri East, MIDC, Mumbai, Maharashtra - 400093",1l,l,MRP Rs. 299 (Incl. of all taxes),299,Rs. 299.0 per l,09/2022,1800-200-5678,care@brand.com,India,MODERATE,COMPLIANT,100,NONE,0,None,None
LM-GEN-00050,BN6216,8905697749064,Pesticide Spray,Dairy,Sunrise Foods Pvt. Ltd.,"Plot No. 14, MIDC Industrial Area, Pune, Maharashtra - 411026",250ml,ml,MRP Rs. 650 (Incl. of all taxes),650,Rs. 2.6 per ml,05/2024,,,Made in India,GOOD,NON_COMPLIANT,85,LOW,1,LM-PC-007,Consumer care helpline and email not provided
LM-GEN-00051,BN1082,8901521783708,Moisturizing Cream,Beverages,Hindustan Consumer Goods,Andheri East,100ml,ml,MRP Rs. 30 (Incl. of all taxes),30,Rs. 0.3 per ml,01/2023,1800-103-1234,support@company.in,Bharat,MODERATE,NON_COMPLIANT,85,LOW,1,LM-PC-003,Incomplete address — PIN code / State missing
LM-GEN-00052,BN8223,8904408257585,Eraser,Stationery,Disha Exports & Imports,No. 34,20N,N,MRP Rs. 250 (Incl. of all taxes),250,Rs. 12.5 per N,,011-23456789,contact@firm.co.in,Germany,GOOD,NON_COMPLIANT,70,MEDIUM,2,LM-PC-006; LM-PC-003,Month and year of manufacture / packing not declared | Incomplete address — PIN code / State missing
LM-GEN-00053,BN1835,8905450162577,Sugar,Staples,Agro Vision Industries,"Kumbargaon MIDC, Ahmednagar, Maharashtra - 414003",2Gms,Gms,MRP Rs. 399,399,Rs. 199.5 per kg,08/2022,1800-419-8900,consumer@product.in,India,POOR,NON_COMPLIANT,50,HIGH,2,LM-PC-004; LM-PC-005,Non-standard unit 'Gms' used (must be SI: g/kg/ml/l/N/m) | MRP missing mandatory phrase 'inclusive of all taxes'
LM-GEN-00054,BN6936,8906267916236,Dish Wash Bar,Household,Evergreen Manufacturing Co.,"Phase II, Industrial Zone, Ludhiana, Punjab - 141010",125g,g,MRP Rs. 50 (Incl. of all taxes),50,Rs. 0.4 per g,01/2023,1800-572-3344,grievance@goods.in,Made in India,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00055,BN8526,8908972179885,,Condiments,Prime Industries Ltd.,"Survey 45/A, Vatva GIDC, Ahmedabad, Gujarat - 382445",10N,N,MRP Rs. 999 (Incl. of all taxes),999,Rs. 99.9 per N,03/2023,1800-419-8900,consumer@product.in,India,MODERATE,NON_COMPLIANT,75,MEDIUM,1,LM-PC-001,Missing product/commodity name on label
LM-GEN-00056,BN3534,8903530165180,Eraser,Stationery,,"Plot No. 14, MIDC Industrial Area, Pune, Maharashtra - 411026",10Ltr,Ltr,MRP Rs. 1499 (Incl. of all taxes),1499,Rs. 149.9 per N,,1800-103-1234,support@company.in,India,POOR,NON_COMPLIANT,37,CRITICAL,4,LM-PC-004; LM-PC-006; LM-PC-002; LM-PC-010,Non-standard unit 'Ltr' used (must be SI: g/kg/ml/l/N/m) | Month and year of manufacture / packing not declared | Manufacturer/packer name not declared | Label text readability below minimum statutory requirement (Rule 7)
LM-GEN-00057,BN9243,8904497065170,Cow Ghee,Dairy,Sunrise Foods Pvt. Ltd.,"Plot No. 14, MIDC Industrial Area, Pune, Maharashtra - 411026",500g,g,MRP Rs. 499 (Incl. of all taxes),499,Rs. 0.998 per g,07/2023,1800-200-5678,care@brand.com,Made in India,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00058,BN6786,8903995617381,Bathing Soap,Personal Care,,"Andheri East, MIDC, Mumbai, Maharashtra - 400093",125g,g,MRP Rs. 20 (Incl. of all taxes),20,Rs. 0.16 per g,,1800-103-1234,support@company.in,India,POOR,NON_COMPLIANT,70,MEDIUM,2,LM-PC-006; LM-PC-002,Month and year of manufacture / packing not declared | Manufacturer/packer name not declared
LM-GEN-00059,BN2606,8902931252818,Wheat Flour (Atta),Staples,Evergreen Manufacturing Co.,"Phase II, Industrial Zone, Ludhiana, Punjab - 141010",5kg,kg,MRP Rs. 120 (Incl. of all taxes),120,Rs. 0.48 per ml,04/2024,1800-103-1234,support@company.in,Germany,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00060,BN9513,8904552778580,Extra Virgin Olive Oil,Edible Oil,Odisha Produce Ltd.,"Chandaka Industrial Estate, Bhubaneswar, Odisha - 751024",500ml,ml,MRP Rs. 99 (Incl. of all taxes),99,Rs. 0.198 per ml,,1800-103-1234,support@company.in,India,POOR,NON_COMPLIANT,77,MEDIUM,2,LM-PC-006; LM-PC-010,Month and year of manufacture / packing not declared | Label text readability below minimum statutory requirement (Rule 7)
LM-GEN-00061,BN5881,8908887355508,Refined Sunflower Oil,Pulses,TechPack Solutions,"EPIP Zone, Whitefield, Bengaluru, Karnataka - 560066",2kilos,kilos,MRP Rs. 399 (Incl. of all taxes),399,Rs. 199.5 per l,12/2022,1800-419-8900,consumer@product.in,Bangladesh,GOOD,NON_COMPLIANT,75,MEDIUM,1,LM-PC-004,Non-standard unit 'kilos' used (must be SI: g/kg/ml/l/N/m)
LM-GEN-00062,BN6216,8901576902591,Talcum Powder,Personal Care,,"Pologround Industrial Area, Indore, Madhya Pradesh - 452015",400g,g,MRP Rs. 9.5 (Incl. of all taxes),9.5,Rs. 0.0238 per g,06/2022,1800-890-0011,help@business.co.in,Germany,GOOD,NON_COMPLIANT,85,LOW,1,LM-PC-002,Manufacturer/packer name not declared
LM-GEN-00063,BN7984,8906979630195,Body Lotion,Personal Care,National Packaged Goods Ltd.,"B-12, Okhla Industrial Phase II, New Delhi - 110020",200ml,ml,MRP Rs. 75 (Incl. of all taxes),75,,10/2023,011-23456789,contact@firm.co.in,Bharat,GOOD,NON_COMPLIANT,92,LOW,1,LM-PC-009,Unit Sale Price (USP) not declared
LM-GEN-00064,BN2744,8909485511171,Face Wash,Condiments,Shree Ganesh Processors,"Near Water Tank, Sikar Road, Jaipur, Rajasthan - 302023",100ml,ml,MRP Rs. 550,550,Rs. 5.5 per ml,01/2023,011-23456789,contact@firm.co.in,Manufactured in India,MODERATE,NON_COMPLIANT,75,MEDIUM,1,LM-PC-005,MRP missing mandatory phrase 'inclusive of all taxes'
LM-GEN-00065,BN1207,8903760360583,Turmeric Powder,Spices,TechPack Solutions,EPIP Zone,200lts,lts,MRP Rs. 9.5 (Incl. of all taxes),9.5,Rs. 0.0475 per g,07/2023,1800-419-8900,consumer@product.in,Bangladesh,POOR,NON_COMPLIANT,52,HIGH,3,LM-PC-010; LM-PC-004; LM-PC-003,Label text readability below minimum statutory requirement (Rule 7) | Non-standard unit 'lts' used (must be SI: g/kg/ml/l/N/m) | Incomplete address — PIN code / State missing
LM-GEN-00066,BN6445,8908999885208,Mosquito Repellent Liquid,Household,Bharat Organic Farms,"Village Narsingpur, Tehsil Harda, Madhya Pradesh - 461331",90ml,ml,MRP Rs. 75,75,,07/2024,1800-103-1234,support@company.in,,POOR,NON_COMPLIANT,44,HIGH,4,LM-PC-005; LM-PC-008; LM-PC-009; LM-PC-010,MRP missing mandatory phrase 'inclusive of all taxes' | Country of Origin declaration missing | Unit Sale Price (USP) not declared | Label text readability below minimum statutory requirement (Rule 7)
LM-GEN-00067,BN1469,8902318240439,Extra Virgin Olive Oil,Edible Oil,Disha Exports & Imports,No. 34,250ml,ml,MRP Rs. 250 (Incl. of all taxes),250,Rs. 1.0 per ml,06/2023,1800-200-5678,care@brand.com,India,GOOD,NON_COMPLIANT,85,LOW,1,LM-PC-003,Incomplete address — PIN code / State missing
LM-GEN-00068,BN1062,8904620724000,Turmeric Powder,Spices,Apex Consumer Products,No. 7,400g,g,MRP Rs. 450 (Incl. of all taxes),450,Rs. 1.125 per g,12/2022,1800-419-8900,consumer@product.in,Germany,MODERATE,NON_COMPLIANT,85,LOW,1,LM-PC-003,Incomplete address — PIN code / State missing
LM-GEN-00069,BN3845,8909946780783,Instant Coffee,Beverages,Hindustan Consumer Goods,"Andheri East, MIDC, Mumbai, Maharashtra - 400093",25g,g,MRP Rs. 75 (Incl. of all taxes),75,Rs. 3.0 per g,01/2024,1800-123-7890,info@pack.in,India,MODERATE,COMPLIANT,100,NONE,0,None,None
LM-GEN-00070,BN4111,8906714442520,Pesticide Spray,Agriculture,MP Agro Industries,"Pologround Industrial Area, Indore, Madhya Pradesh - 452015",500ml,ml,MRP Rs. 200 (Incl. of all taxes),200,Rs. 0.4 per ml,03/2024,1800-103-1234,support@company.in,China,GOOD,COMPLIANT,100,NONE,0,None,None
LM-GEN-00071,BN3099,8907732976411,Body Lotion,Personal Care,Apex Consumer Products,"No. 7, 3rd Cross, Peenya Industrial Area, Bengaluru, Karnataka - 560058",400ml,ml,MRP Rs. 200 (Incl. of all taxes),200,Rs. 0.5 per ml,,1800-103-1234,support@company.in,Bharat,GOOD,NON_COMPLIANT,85,LOW,1,LM-PC-006,Month and year of manufacture / packing not declared
LM-GEN-00072,BN8569,8901647442154,Multivitamin Tablets,Pulses,Apex Consumer Products,"No. 7, 3rd Cross, Peenya Industrial Area, Bengaluru, Karnataka - 560058",30N,N,MRP Rs. 99 (Incl. of all taxes),99,Rs. 3.3 per N,,1800-123-7890,info@pack.in,India,GOOD,NON_COMPLIANT,85,LOW,1,LM-PC-006,Month and year of manufacture / packing not declared
LM-GEN-00073,BN2592,8905243397003,Butter,Dairy,Agro Vision Industries,"Kumbargaon MIDC, Ahmednagar, Maharashtra - 414003",100g,g,MRP Rs. 75 (Incl. of all taxes),75,Rs. 0.75 per g,12/2023,1800-890-0011,help@business.co.in,Bharat,POOR,COMPLIANT,100,NONE,0,None,None
